name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
phoenix group holdings plc,life and health insurance,lse,london,united kingdom,6800,briggs andrew,thakrar rakesh,,abrdn plc,atum life private limited,computershare investor services plc,diligenta limited,pearl group staff pension scheme,santander uk plc,standard life assurance limited,tata consultancy services limited,tata consultancy services limited,,halberd corporation,phoenix group holdings employee benefit trust,phoenix life holdings limited,,,,,,,,,board member,barbour alastair william stewart,briggs andrew david,thakrar rakesh kishore,pollock john brackenridge,shott nicholas roland,green karen ann,murray katie ,richards belinda jane
bt group plc,integrated telecommunication services,lse,london,united kingdom,97100,jansen philip eric,lowth simon,60.0,amdocs limited,apple inc.,aubay société anonyme,aukett swanke group plc,calnex solutions plc,cardtronics plc,cisco systems inc.,comtech telecommunications corp.,couchbase inc.,dfl deutsche fußball liga gmbh,abb ltd,barnardo's,clermont hotel group limited,dfl deutsche fußball liga gmbh,fatface limited,legacy ejy inc.,liberty global plc,odeon cinemas limited,oxfam gb,pets at home ltd.,,board member,crozier adam alexander,jansen philip eric rene,lowth simon jonathan,mctighe robert michael,hudson isabel frances,key matthew ,weller sara vivienne,cairnie linda ruth
capgemini se,it consulting and other services,enxtpa,paris,france,349469,ezzat aiman,ferrand carole,65.0,blue prism group limited,citrix systems inc.,cyxtera technologies inc.,eurotech s.p.a.,global net lease operating partnership l.p.,mongodb inc.,oculus visiontech inc.,wihlborgs fastigheter ab (publ),,,airbus se,anz group holdings limited,atos medical ab,carrefour france sas,city of amsterdam,creative newtech limited,euronext n.v.,european commission,heathrow airport limited,mercedes-benz india private limited,,board member,hermelin paul benjamin,ezzat aiman ,oudea frederic ,sinapi-thomas lucia ,musca xavier ,pouyanné patrick ,herbert-jones sian ,jeannin hervé 
andritz ag,industrial machinery and supplies and components,wbag,graz,austria,29927,schönbeck joachim,nettesheim norbert,,pitti engineering limited,sealmatic india limited,,,,,,,,,bashundhara paper mills limited,ch. karnchang (lao) company limited,harbin electric company limited,mississagi power trust,paracel s.a.,,,,,,,board member,leeb alexander ,leitner wolfgang ,kircher-kohl monika ,martiner andreas ,auer georg ,fechter jürgen hermann,isola alexander ,bernhard wolfgang 
prosiebensat 1 media se,broadcasting,xtra,unterföhring,germany,7393,habets bert,mildner martin,,20th century studios inc.,eqs group ag,plazamedia gmbh,sky media gmbh,the walt disney company,,,,,,ad alliance gmbh,alphabet inc.,deutsche telekom ag,highlight communications ag,instagram llc,joyn gmbh,meta platforms inc.,youtube llc,,,,board member,wiele andreas ,helmes marion ,stoiber edmund ,nonnenmacher rolf ,barati-fischer minu ,kahl heike ,kronzucker dieter ,lüpertz markus 
quilter plc,asset management and custody banks,lse,london,united kingdom,3005,levin steven,satchel mark,,360 dot net limited,corpserve registrars (private) limited,equiniti group limited,jse investor services (pty) ltd,national bank of malawi plc,transfer secretaries (proprietary) limited,,,,,employee benefit trust,quilter perimeter holdings limited,,,,,,,,,,board member,markland ruth ,levin steven ,satchel mark oscar,reid george mcgrimmon,breedon timothy james,atkar neeta avnash kaur,matthews paul stephen,kilcoyne moira 
taylor wimpey plc,homebuilding,lse,high wycombe,united kingdom,5236,daly jennifer,carney christopher,,aukett swanke group plc,link market services limited,nexus infrastructure plc,,,,,,,,,,,,,,,,,,,board member,noel robert m.,daly jennifer ,carney christopher ,singer humphrey ,dorner irene mitchell,gadhia jitesh k.,grimble scilla ,moriarty clodagh 
infrastrutture wireless italiane spa,integrated telecommunication services,bit,rome,italy,279,,trudu emilia,50.0,banca popolare di sondrio,banco bpm s.p.a.,european investment bank,telecom italia s.p.a.,telecom italia s.p.a.,telenergia s.r.l.,vodafone italia s.p.a.,,,,telecom italia s.p.a.,vodafone italia s.p.a.,,,,,,,,,,board member,cicchetti oscar ,cavatorta laura ,sarubbi stefano ,bariatti stefania ,landrevot christine roseau,ravera secondina giulia,valsecchi francesco ,corda antonio 
fresenius se & co kgaa,health care services,xtra,bad homburg vor der höhe,germany,315233,sen michael,hennicken sara,60.0,european investment bank,fresenius management se,fresenius medical care ag & co. kgaa,fresenius medical care ag & co. kgaa,kendrion n.v.,unifiedpost group sa,vereit operating partnership l.p.,,,,excelsior medical co. ltd.,fresenius medical care ag & co. kgaa,fresenius medical care ag & co. kgaa,fresenius medical care ag & co. kgaa,,,,,,,,board member,kirsch wolfgang ,diekmann michael ,genster grit ,krick gerd e.,zeidler susanne ,kölbl konrad ,albrecht d. michael,balling stefanie 
poste italiane spa,life and health insurance,bit,rome,italy,119000,del fante matteo,greco camillo,60.0,address software srl,agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa spa,anima holding spa,banca imi s.p.a.,bancoposta fondi spa sgr,cassa depositi e prestiti s.p.a.,clp scpa,consorzio per i servizi di telefonia mobile scpa,consorzio postemotori,consorzio servizi telef. mobile scpa,agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa spa,agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa spa,anima group s.a.,anima holding spa,banca monte dei paschi di siena s.p.a.,bancoposta fondi spa sgr,bancoposta rfc,bancoposta rfc,cassa depositi e prestiti s.p.a.,clp scpa,,board member,rovere silvia maria,del fante matteo ,lonardo mauro ,biondo carlo d’asaro,rutigliano patrizia ,petrella matteo ,gemignani valentina ,marchioni paolo 
