name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
aveva group plc,application software,lse,cambridge,united kingdom,6500,herzberg caspar,dibenedetto brian,,aras corporation,bcmglobal (uk) limited,schneider electric holdings inc.,schneider electric s.e.,sltc llc,,,,,,basf se,bhp group limited,ceinsys tech limited,electricité de france s.a.,gsk plc,indian oil corporation limited,john wood group plc,petrofac limited,saudi electricity company,schneider electric s.e.,,board member,kennedy j. patrick,blum pascal marius ,maxson hilary barbara,li yanbing ,bass carl ,,,
land securities group plc,diversified reits,lse,london,united kingdom,577,allan mark,simms vanessa,,aukett swanke group plc,cbre limited,equiniti limited,jones lang lasalle limited,mitie group plc,spaceandpeople plc,,,,,accor sa,boot outlet inc.,british broadcasting corporation,cineworld group plc,debenhams plc,deloitte touche tohmatsu llc,deutsche bank ag london branch,h & m hennes & mauritz ab (publ),house of fraser ltd.,j sainsbury plc,,board member,cheshire ian michael,allan mark christopher,simms vanessa kate,cadbury nicholas theodore,evain christophe armel,carter edward h. bonham,cosgrave madeleine e.,tamhane manjiry 
koninklijke vopak nv,oil and gas storage and transportation,enxtam,rotterdam,netherlands,5826,richelle d. j.,gilsing michiel e.,,fitzroy engineering group limited,saunders international limited,,,,,,,,,gulf coast growth ventures llc,,,,,,,,,,,board member,noteboom ben j.,groot melchert frans,van der veer ben ,giadrossi nicoletta ,foufopoulos-de ridder lucrece j. i.,hookway richard m.,,
mowi asa,packaged foods and meats,ob,bergen,norway,10381,vindheim ivan,ellingsen kristian,,coöperatieve rabobank u.a.,crédit agricole cib,danske bank a/s norway branch,dnb bank asa,dnb bank asa,envases del pacifico s.a.,nordea bank abp filial i norge,nova sea as,skandinaviska enskilda banken ab (publ) oslofilialen norsk avdeling av utenlandsk foretak,the royal bank of scotland n.v. norwegian branch,albert heijn b.v.,amazon.com inc.,"etablissements delhaize frères et cie ""le lion"" (groupe delhaize) sa",marine harvest markets norway as,nova sea as,p/f bakkafrost,,,,,,board member,leroy ole-eirik ,melhuus kristian ,naero lisbeth karin,wengaard jørgen j.,fredriksen kathrine astrup,strand peder ,larsen renate ,pettersen roger 
aalberts nv,industrial machinery and supplies and components,enxtam,utrecht,netherlands,14597,simonetta stéphane,monincx arno,,,,,,,,,,,,,,,,,,,,,,,board member,van bommel p. a. m.,van der zouw jan ,veenema piet ,declercq l. c. a.,melzer frank ,menssen thessa ,,
engie sa,multi-utilities,enxtpa,courbevoie,france,88241,macgregor catherine,riolacci pierre-francois,65.0,aubay société anonyme,cnieg caisse nationale des industries electriques et gazieres,corinth pipeworks s.a.,drone volt sa,dtcom - direct to company s.a.,energia sustentável do brasil s.a.,enlink midstream llc,erg s.p.a.,esi group sa,euronext n.v.,ab dynamics plc,charter hall group,chubu electric power company incorporated,coles group limited,cpc corporation taiwan,electrabel sa,engie energia chile s.a.,forvia se,futures energies investissement holding,gas sayago s.a.,,board member,clamadieu jean-pierre ,macgregor catherine ,mestrallet gerard ,nadeau marie-josé ,daveu marie-claire ,bregier fabrice ,ricketts peter ,muniesa lucie 
assicurazioni generali spa,multi_line insurance,bit,trieste,italy,82599,donnet philippe,borean cristiano,,aubay société anonyme,eman a.s.,infotel sa,maps s.p.a.,micropole s.a.,unifiedpost group sa,,,,,mapfre seguros gerais s.a.,softlogic capital plc,softlogic life insurance plc,,,,,,,,,board member,sironi andrea ,donnet philippe roger,moriani diva ,mei-pochtler antonella ,torchia luisa ,malesci umberto ,pellicioli lorenzo ,rebecchini clemente 
galapagos nv,biotechnology,enxtam,mechelen,belgium,1233,stoffels paulus,huston thad,,fibrocor therapeutics l.p.,gilead sciences inc.,intervest offices & warehouses,molecure s.a.,ryvu therapeutics s.a.,,,,,,abbvie inc.,eisai co. ltd.,gilead sciences inc.,gilead sciences inc.,morphosys ag,novartis ag,oxurion nv,swedish orphan biovitrum ab (publ),,,,board member,stoffels paulus a.,svanberg elisabeth ,contamine jerome ,guenter peter ,o'day daniel p. ,higgins linda slanec,baker daniel g.,schaffert susanne 
italgas spa,gas utilities,bit,milan,italy,4248,gallo paolo,amoroso gianfranco,,bludigit s.p.a.,cassa depositi e prestiti s.p.a.,enel energia s.p.a.,enerpaper,eni s.p.a.,european investment bank,ferrovie dello stato italiane s.p.a.,gestore dei servizi energetici gse s.p.a.,intesa sanpaolo s.p.a.,italgas reti s.p.a.,enel energia s.p.a.,eni s.p.a.,ferrovie dello stato italiane s.p.a.,gestore dei servizi energetici gse s.p.a.,metano s. angelo lodigiano s.p.a,snam s.p.a.,umbria distribuzione gas spa in forma abbreviata umbria distribuzione,,,,,board member,navarra benedetta ,gallo paolo ,mascardi fabiola ,montanari gianmarco ,pusterla giulia ,lorenzo parola ,de marco claudio ,shen qinjing 
covivio sa,office reits,enxtpa,paris,france,995,kullmann christopher,arkwright paul,65.0,bnpp real estate valuation france,cabot financial (europe) limited,cushman & wakefield k.k.,jll expertises sarlau,jones lang lasalle sas,,,,,,accenture technology ventures,accor sa,accorinvest,adova group,african development bank,aon plc,archimedia sa,axa sa,b&b hotels sas,beni stabili spa siiq,,board member,biamonti jean-luc ,kullmann christopher ,delaire christian ,piani olivier ,soubie catherine ,bardin romolo ,grivet jerome ,ouziel sylvie 
3i group plc,asset management and custody banks,lse,london,united kingdom,249,borrows simon,hatchley james,65.0,3i investments plc,3i plc,equiniti limited,mitie group plc,,,,,,,3i infrastructure plc,3i infrastructure plc,,,,,,,,,,board member,hutchison david a. m.,borrows simon a.,hatchley james graham,halai jasi h.,daintith stephen wayne,mcconville coline lucille,mckellar peter archibald,knox lesley mary samuel
schindler holding ag,industrial machinery and supplies and components,nyse,hergiswil,switzerland,69737,napoli silvio,geyseleer carla,,asia clean capital ltd.,kendrion n.v.,pennar industries limited,unifiedpost group sa,zaptec asa,,,,,,bangalore metro rail corporation limited,salt lake city dept of airport,vingroup,,,,,,,,,board member,napoli silvio ,baschera pius ,schindler alfred n.,staehelin tobias b.,ammann erich ,nilles michael ,gadiesh orit ,schauble gunter 
glanbia plc,packaged foods and meats,ise,kilkenny,ireland,6163,talbot siobhan,garvey mark,,computershare investor services (ireland) limited,dcc plc,glanbia co-operative society limited,,,,,,,,glanbia cheese eu limited,glanbia co-operative society limited,glanbia ingredients ireland limited,ornua co-operative limited,,,,,,,,board member,gaynor donard p.,talbot siobhan ,garvey mark a.,lodge jane ann,duffy paul c.,o'connor daniel n.,walsh michael j.,seltzer wayne t.
j sainsbury plc,food retail,lse,london,united kingdom,152000,roberts simon,bergin blathnaid,,avepoint inc.,bakkavor group plc,bakkavor group plc,bank of england,boparan restaurants holdings limited,british land company plc,cdm trading limited,chapel down group plc,confluent inc.,custodian property income reit plc,sainsbury's bank plc,sainsbury's bank plc,,,,,,,,,,board member,scicluna martin anthony,roberts simon john,bergin blathnaid ,jones margaret lesley,harlow jo ,weed keith c. f.,hennah adrian nevil,cassin brian j.
royal mail plc,air freight and logistics,lse,london,united kingdom,165329,seidenberg martin,jeavons michael,60.0,amazon.com inc.,apc technology group ltd,brightbay real estate partners limited,custodian property income reit plc,edf energy limited,energy fitness professionals limited,equiniti share plan trustees limited,grc international group plc,mitie group plc,refuels n.v.,bloom & wild limited,post office limited,royal mail group limited,united kingdom,,,,,,,,board member,williams keith ,seidenberg martin ,jeavons michael john,da cunha da silva maria juana,findlay michael alan,peacock lynne margaret,hogg sarah elizabeth mary,verma shashi 
ferguson plc,trading companies and distributors,nyse,wokingham,united kingdom,35000,murphy kevin,brundage william,65.0,bank of china limited london branch,barclays bank plc,bnp paribas sa,computershare trust company national association,fifth third bank national association,ing bank n.v. (london),jpmorgan chase bank n.a. london branch,masco corporation,pnc bank national association,rbc europe limited,,,,,,,,,,,,board member,drabble geoffrey ,murphy kevin ,brundage william ,murray alan j.,wood suzanne h.,baker kelly a.,shouraboura nadia ,halligan catherine ann
evonik industries ag,specialty chemicals,xtra,essen,germany,33357,kullmann christian,schuh maike,65.0,huntsman corporation,ineos group holdings s.a.,mersen s.a.,orion s.a.,the chemours company,unifiedpost group sa,voxeljet ag,,,,ac immune sa,amsilk gmbh,cassava sciences inc.,insilco limited,intec pharma ltd,lanxess aktiengesellschaft,origin laboratories inc.,orion s.a.,oxiquim s.a.,rag-stiftung,,board member,tönjes bernd ,bercht alexander ,rudiger michael martin,belloni aldo ernesto,krieger alexandra ,albert barbara ruth,albers martin ,titzrath angela 
vistry group plc,homebuilding,lse,west malling,united kingdom,4826,fitzgerald gregory,lawlor timothy,,affinity water limited,affinity water limited,ardent hire solutions ltd,arthur j. gallagher & co.,computershare investor services plc,forterra plc,marshalls plc,nexus infrastructure plc,zaptec asa,,homes england,,,,,,,,,,,board member,findlay ralph graham,fitzgerald gregory paul,lawlor timothy charles,sibley earl ,baker rowan clare,browne margaret christine,ubben jeffrey williams,whetsell paul w.
imi plc,industrial machinery and supplies and components,lse,birmingham,united kingdom,10000,twite roy,shook daniel,,equiniti limited,,,,,,,,,,,,,,,,,,,,,board member,smith robert haldane,twite roy m.,shook daniel j.,sharp isobel ,dowling caroline ,andersen thomas thune,jackson katie ,puri ajai 
next plc,broadline retail,lse,enderby,united kingdom,32324,wolfson simon,james amanda,60.0,adidas ag,aew uk reit plc,aitken spence plc,arvind limited,british land company plc,bubble bath & bodyworks ltd,capital & regional plc,cedar development co.ltd.,choice discount stores limited,custodian property income reit plc,choice discount stores limited,jojo maman bebe ltd,made.com group plc,next retail limited,sanderson design group plc,the gap inc.,victoria's secret & co.,,,,,board member,roney michael j.,wolfson simon a.,james amanda ,papp richard s v.,stakol jeremy ,shields jane ,bewes jonathan michael arundell,hall thomas nicholas
novozymes a/s,specialty chemicals,cpse,bagsvaerd,denmark,6852,baiget ester,green lars,,kainos group plc,microbiogen pty ltd.,nnit a/s,novo nordisk a/s,synergia life sciences pvt. ltd.,synergia life sciences pvt. ltd.,,,,,21st.bio a/s,novo nordisk a/s,novo nordisk a/s,oiltek international limited,synergia life sciences pvt. ltd.,,,,,,,board member,de jong cornelis ,stratton kim ,dalsgaard heine ,knudsen anders hentze,kutay kasim ,james sharon ,breum anne ,nielsen preben 
british land company plc,diversified reits,lse,london,united kingdom,647,carter simon,mistry bhavesh,,cbre group inc.,crédit agricole corporate and investment bank,cushman & wakefield (uk) services ltd.,dbs bank ltd. london branch,equiniti limited,hercules unit trust,jones lang lasalle incorporated,knight frank llp,national westminster bank plc,oversea-chinese banking corporation limited london branch,accor sa,allen & overy llp,asda group limited,conilon ltd,crédit agricole s.a.,dentsu international limited,deutsche bank aktiengesellschaft,dfs furniture plc,dimensional fund advisors lp,dsg retail limited,,board member,score tim ,carter simon g.,mistry bhavesh ,wade-gery laura ,hughes alastair ,woodhouse loraine ,prebensen preben ,gladden lynn faith
vonovia se,real estate operating companies,lse,bochum,germany,15764,buch rolf,grosse philip,65.0,bank of america national association,berlin hyp ag,bnp paribas sa,caixabank s.a. zweigniederlassung deutschland,cbre gmbh (germany),commerzbank ag,db immobilienfonds 11 spree-schlange von quistorp kg,degussa bank ag,deutsche pfandbriefbank ag,deutsche pfandbriefbank ag,,,,,,,,,,,,board member,streit clara-christina f. t.,eckert vitus ,funck florian ,reinhart ariane ,fenk jurgen ,muller hildegard ,ulbrich christian ,geipel-faber ute 
softcat plc,it consulting and other services,lse,marlow,united kingdom,1921,charlton graham,mecklenburgh kathryn,,8x8 inc.,adobe inc.,alphabet inc.,amazon web services uk limited,apple inc.,check point software technologies ltd.,cisco systems inc.,citrix systems inc.,commvault systems inc.,crowdstrike inc.,berry bros. & rudd ltd,coller capital ltd.,enghouse networks limited,next 15 group plc,nhs digital,splash damage ltd.,virgin money ltd.,,,,,board member,watt graeme a.,charlton graham l.,mecklenburgh kathryn isabel,murria vinodka ,perriss robyn ,weedall lynne marie,prakash mayank ,
london stock exchange group plc,financial exchanges and data,lse,london,united kingdom,24296,schwimmer david,manz anna olive,75.0,equiniti limited,euronext holding italia s.p.a.,mitie group plc,pelatro plc,workrite ltd,,,,,,cboe global markets inc.,cme group inc.,jse limited,,,,,,,,,board member,robert donald austin,schwimmer david a.,manz anna olive magdelene,derose kathleen traynor,hogg cressida mary,blakemore dominic ,rahmani valerie ,brand martin j.
halma plc,electronic equipment and instruments,lse,amersham,united kingdom,8000,ronchetti marc,gunning stephen william,,computershare investor services plc,,,,,,,,,,,,,,,,,,,,,board member,makin dame louise,ronchetti marc a.,gunning stephen william lawrence,ward jennifer ,cran carole ,harlow jo ,twite roy m.,rice william anthony
seb sa,household appliances,enxtpa,écully,france,30000,de gramont stanislas,casanova olivier,,artefact sa,elin electronics limited,strauss coffee b.v.,zhejiang supor co. ltd.,,,,,,,grupo seb do brasil produtos doméstcos ltda.,seb internationale sas,storebound llc,wilbur curtis company inc.,wmf group gmbh,"zao ""gruppa seb-vostok""",zebra sas,zhejiang supor co. ltd.,,,,board member,d'artaise thierry de la tour ,pourre catherine ,duprieu jean-pierre ,lescure jerome ,costes yseulys ,gairard william ,braida-valerio anne-damarys ,finet bertrand 
greggs plc,restaurants,lse,newcastle upon tyne,united kingdom,28493,currie roisin,hutton richard,,barkby group plc,custodian property income reit plc,ediston property investment company plc,highcroft investments plc,link engineering company,marlow foods ltd,monde nissin corporation,newriver reit plc,sap se,shaftesbury capital plc,applegreen limited,compass group plc,,,,,,,,,,board member,davies matthew ,currie roisin helen,hutton richard john,ferry catherine elizabeth,weedall lynne marie,mills nigel ,elsarky mohamed ,
elekta ab (publ),health care equipment,om,stockholm,sweden,4700,salford gustaf,hagglov tobias,55.0,addnode group ab (publ),c-rad ab (publ),varex imaging corporation,,,,,,,,chc healthcare group,chiu ho medical systems co. ltd.,gk financing llc,healthcare global enterprises limited,mercurius health s.a.,rutherford health plc,the netherlands cancer institute,turkiye,,,,board member,leksell laurent ,goransson birgitta stymne,secher jan ,reim wolfgang ,cooke caroline leksell,wikström cecilia ,londy kelly ,wetekam volker 
industrivarden ab,multi-sector holdings,om,stockholm,sweden,15,stjernholm helena,åberg karl,80.0,euroclear sweden ab,,,,,,,,,,,,,,,,,,,,,board member,lundberg fredrik ,stjernholm helena ,boman par ,kjell bengt ,caspar christian a.,pettersson lars ,fredriksson marika ,martinson katarina 
l e lundbergforetagen ab (publ),multi-sector holdings,om,stockholm,sweden,4090,lundberg fredrik,johansson lars,80.0,,,,,,,,,,,eskilstuna kommun,,,,,,,,,,,board member,selling bo ,lundberg fredrik ,peterson sten ,bennet carl ,lindh eva louise katarina,martinson katarina ,pettersson lars ,mattsson krister 
national grid plc,multi-utilities,lse,london,united kingdom,29450,pettigrew john,agg andrew,65.0,anglo-eastern plantations plc,balfour beatty plc,copperleaf technologies inc.,corinth pipeworks industry pipes societe anonyme,drax group plc,equiniti limited,finergreen rajarata (pvt) ltd,gp strategies corporation,jacobs solutions inc.,jiangnan group limited,angus energy plc,city of melrose minnesota,emerald energy venture llc,futures treasury plc,k-electric limited,national grid electricity distribution (south west) plc,national grid electricity distribution (west midlands) plc,national grid electricity distribution plc,national grid electricity transmission plc,national grid north america inc.,,board member,reynolds paula g. rosput,pettigrew john ,agg andrew j.,esperdy therese ,shipp earl l.,livingston ian paul,mackay iain james,silver jonathan moses
dassault aviation sa,,,,not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iwg plc,real estate operating companies,lse,zug,switzerland,10000,dixon mark,steel charlie,,brigade enterprises limited,bund center investment ltd,clavister holding ab (publ.),incity immobilien ag,keppel-kbs bellevue technology center inc.,link market services (jersey) limited,nextensa nv/sa,psp swiss property ag,saul centers inc.,,all e technologies limited,frontier ip group plc,,,,,,,,,,board member,sutherland douglas ,dixon mark ,henderson mary regina,pauly francois a.,harris laurie l.,lal tarun ,l'helias sophie ,
kesko oyj,food retail,hlse,helsinki,finland,18382,helander mikko,erlund jukka,,ab sagax (publ),audi ag,cibus nordic real estate ab (publ),citycon oyj,cloetta ab (publ),hiq international ab (publ),itab shop concept ab (publ),man se,marlow foods ltd,mercada oy,mercada oy,,,,,,,,,,,board member,kiiskinen esa ,fagernäs peter ,pokela toni ,fagerholm jannica ,olavi ritakallio timo ,karhu piia ,perala jussi ,
barry callebaut ag,packaged foods and meats,swx,zurich,switzerland,13672,feld peter,de schryver ben,60.0,atoss software ag,jacobs holding ag,psp swiss property ag,the hershey company,,,,,,,grupo bimbo s.a.b. de c.v.,levapan colombia sas,pt. garudafood group,the hershey company,,,,,,,,board member,de maeseneire patrick g.,neuhaus markus r.,minges timothy edward,jacobs nicolas ,aguirre fernando g.,de saint-affrique antoine bernard,sceti elio leoni,wei dong angela 
akzo nobel nv,specialty chemicals,enxtam,amsterdam,netherlands,34700,poux-guillaume gregoire,de vries maarten,60.0,20 microns limited,akzo nobel india limited,arcadis nv,atos se,b&b triplewall containers limited,hexion holdings corporation,neo performance materials inc.,polygiene group ab,quadrise plc,shanghai kaytune industrial co.ltd,aci formulations limited,airbus s.a.s.,akzo nobel india limited,akzo nobel india limited,applied technology investors inc.,assercar sas,chemical and allied products plc,hong kong internatonal airport,knusford berhad,knusford marketing sdn. bhd.,,board member,grote byron elmer,sluimers dick marinus,kirby pamela j.,thomas patrick w.,poots-bijl jolanda ,baiget ester ,van bylen hans ,noteboom ben j.
pearson plc,education services,lse,london,united kingdom,20169,bird adam,johnson sally kate,,docebo inc.,equiniti limited,fadel partners inc.,kuantum papers limited,learning technologies group plc,,,,,,amazon web services inc.,british broadcasting corporation,penguin random house llc,smith school of enterprise and the environment,the walt disney company,travis association for the blind,,,,,,board member,kordestani omid r.,bird adam ,score tim ,johnson sally kate miranda,rabe thomas ,pitkethly graeme david,coutu sherry l.,poldoian david a.
publicis groupe sa,advertising,enxtpa,paris,france,101152,sadoun arthur,proch michel-alain,65.0,avepoint inc.,bidstack group plc,derwent london plc,generali france sa,innovid corp.,integral ad science holding corp.,teads b.v.,the trade desk inc.,vhq media holdings ltd,yuexiu real estate investment trust,abbvie inc.,abu dhabi national oil company,anheuser-busch inbev sa/nv,asda group limited,axa sa,banco bradesco s.a.,banco davivienda s.a. miami international bank branch,bank of america national association,bartle bogle hegarty ltd.,beiersdorf aktiengesellschaft,,board member,lévy maurice ,badinter élisabeth ,king steve ,giannino susan ,stoddart richard s.,saber alex ,giuliani john a.,kravis marie- josée
baloise holding ag,multi_line insurance,swx,basel,switzerland,7693,muller michael,stolz carsten,70.0,,,,,,,,,,,baloise bank soba ag,baloise belgium nv,baloise sach holding ag,bâloise vie luxembourg s.a.,basler versicherung beteiligungen b.v. & co. kg,,,,,,,board member,von planta thomas ,mader christoph ,gloor christoph b.,neuhaus markus r.,lasat belgian hugo r. r.,venturi - zen-ruffinen marie-noelle ,schmidt-trenz hans-jorg ,diedenhofen karin lenzlinger
elia group sa,electric utilities,enxtbr,brussels,belgium,3012,peeters chris,vandenborre catherine,65.0,coreso sa,deme group nv,european investment bank,spie belgium sa,,,,,,,coreso sa,nemo link limited,sibelga sc,,,,,,,,,board member,gustin bernard ,gregoire claude ,versnick geert ,offergeld dominique ,alle michel ,kesteman roberte ,donck frank ,van uffelen saskia 
red electrica corporacion sa,electric utilities,bme,alcobendas,spain,2456,garcía merino roberto,diez emilio,70.0,endesa s.a.,prysmian s.p.a.,,,,,,,,,hispasat s.a.,hispasat s.a.,red eléctrica brasil holding ltda,red eléctrica chile spa,red eléctrica de españa finance b.v.,red electrica de espana s.a.u.,red electrica de espana s.a.u.,red electrica de espana s.a.u.,red eléctrica financiaciones s.a.u.,red eléctrica infraestructuras de telecomunicación s.a.,,board member,sierra beatriz corredor,garcía merino roberto ,de barreda tous de monsalve carmen gómez,gomez ciria antonio ,fernández larrea socorro ,martinez esther maria rituerto,real rodrigalvarez mercedes ,ruiz gómez josé juan
enagas sa,gas utilities,bme,madrid,spain,1389,aizpiri arturo,urrestarazu luis,60.0,enagás financiaciones sau,enagás internacional s.l.u.,european regional development fund,oman oil marketing company saog,rothschild & co sca,scale gas med shipping,,,,,enagás emprende,enagás emprende,enagás financiaciones sau,enagás gts s.a.u.,enagás gts s.a.u.,enagás internacional s.l.u.,enagás internacional s.l.u.,enagas services solutions,enagas services solutions,enagás transporte s.a.u.,,board member,carratala antonio llarden,aizpiri arturo gonzalo,del valle de lersundi ana palacio,aguilera jose montilla,arcos sanchez maria teresa ,toro bartolome lora,costa santiago ferrer,sanz eva patricia urbez
sika ag,specialty chemicals,swx,baar,switzerland,33698,hasler thomas,widmer adrian,70.0,apcotex industries limited,foodlink a.e.,public joint stock company nizhnekamskneftekhim,sika capital b.v.,,,,,,,topco technologies corp.,,,,,,,,,,,board member,halg paul johann,ribar monika ,howell justin marshall,vanlancker thierry f. j.,schuler paul ,balli viktor waldemar,landen gordana ,foufopoulos-de ridder lucrece j. i.
derwent london plc,office reits,lse,london,united kingdom,184,williams paul,wisniewski damian mark,,aukett swanke group plc,barclays plc,derwent london capital no. 3 (jersey) limited,equiniti limited,johnson controls international plc,knight frank llp,savills plc,the hongkong and shanghai banking corporation limited india,veretec limited,wells fargo & company,accenture plc,adobe inc.,arup group limited,brain labs digital ltd.,burberry group plc,dept,esselco services llp,expedia group inc.,fremantlemedia group limited,jones knowles ritchie inc.,,board member,breuer mark ,williams paul malcolm,wisniewski damian mark alan,george nigel quentin,prideaux emily ,arney claudia isobel,gordon helen christine,bell lucinda m.
man group plc,asset management and custody banks,lse,london,united kingdom,1655,grew robyn,forterre antoine hubert joseph,,,,,,,,,,,,,,,,,,,,,,,board member,wade anne k.,grew robyn ,forterre antoine hubert joseph marie,rohal john ,wong timothy ,johnston theunis ian boyd,bell lucinda m.,berliand richard david antony
hays plc,human resource and employment services,lse,london,united kingdom,13049,hahn dirk,hilton james,,equiniti limited,,,,,,,,,,bristol-myers squibb company,cariad se,mitie group plc,nippon express holdingsinc.,stada arzneimittel aktiengesellschaft,suncorp group limited,tencent holdings limited,,,,,board member,martin andrew david,hahn dirk ,hilton james ,rainey mary-teresa ,williams peter ,murray susan e.,millington cheryl joanne,hurd joseph kindall
smith & nephew plc,health care equipment,lse,watford,united kingdom,19000,nath deepak,nesmes anne-francoise,65.0,computershare investor services plc,equiniti group limited,,,,,,,,,dcc plc,,,,,,,,,,,board member,soames rupert christopher,nath deepak s.,nesmes anne-francoise ,risley angela susan,owen marc e.,medlock c. richard k.,engstrom erik ,white robert john
givaudan sa,specialty chemicals,swx,vernier,switzerland,16439,andrier gilles,hallam thomas,70.0,agan aroma & fine chemicals limited,cdp worldwide,dr. wu skincare co. ltd.,ecocert sa,ecovadis sas,oao moskva - krasnye holmy,privi speciality chemicals limited,stichting global reporting initiative,sustainability accounting standards board,value reporting charity uk,alibaba.com china limited,inter parfums inc.,l'oréal s.a.,,,,,,,,,board member,grieder calvin ,deltenre ingrid ,balli viktor waldemar,gasperment sophie a.,filliol olivier a.,knutzen tom ,guidetti roberto ,
ferrari nv,automobile manufacturers,nyse,maranello,italy,4953,vigna benedetto,piccon antonio,,ceva logistics ag,computershare limited,coxa spa,fca us llc,ford motor company,h.p.e. - s.r.l.,iveco s.p.a.,key safety systems inc.,kongsberg automotive asa,maserati s.p.a.,blackbird concessionaires limited,brisbane bmw unit trust,fca us llc,hr owen plc,lmm holdings pty ltd,maserati s.p.a.,officine maserati grugliasco s.p.a.,sime darby motors sdn bhd,stellantis n.v.,,,board member,elkann john jacob philip,vigna benedetto ,ferrari piero ,duca sergio ,galantic john s.,cue eduardo h.,arnault delphine ,patrizia grieco maria 
novo nordisk a/s,pharmaceuticals,cpse,bagsvaerd,denmark,59337,jorgensen lars,knudsen karsten,85.0,2seventy bio inc.,aspen pharmacare holdings limited,chemometec a/s,gecina,genmab a/s,hcl technologies limited,nnit a/s,nolato ab (publ),novo holdings a/s,novolog (pharm-up 1966) ltd,innate pharma s.a.,medical supplies and services company,novo holdings a/s,novo nordisk fonden,novozymes a/s,vtv therapeutics llc,,,,,,board member,lund helge ,poulsen henrik ,debroux laurence m.,hyveled liselotte ,jensen mette bojer,gregoire sylvie l.,kutay kasim ,rantzau thomas 
ems chemie holding ag,specialty chemicals,swx,domat/ems,switzerland,2708,martullo-blocher magdalena,germann peter,,,,,,,,,,,,,,,,,,,,,,,board member,merki bernhard ,martullo-blocher magdalena ,streu joachim ,roten rainer ,,,,
sig combibloc group ag,paper and plastic packaging products and materials,swx,neuhausen am rheinfall,switzerland,9000,sigrist samuel,,55.0,sig combibloc services ag,,,,,,,,,,daesang corporation,grupo ramos s.a.,gujarat cooperative milk marketing federation ltd.,nestlé s.a.,pt frisian flag indonesia,saudi basic industries corporation,,,,,,board member,umbach andreas ,bauer werner j.,währen matthias ,chu wah-hui ,hoch mariel ,al-obeikan abdullah bin abdulrahman,snels martine ,last laurens 
persimmon plc,homebuilding,lse,york,united kingdom,5554,finch dean,,,computershare investor services plc,johnsons tiles limited,nexus infrastructure plc,,,,,,,,,,,,,,,,,,,board member,devlin roger william,finch dean kendal,durbin annemarie verna florence,khoury-haq shirine ,mills nigel ,wyllie andrew ,depledge alexandra helen,o'shea colette 
skanska ab,construction and engineering,om,stockholm,sweden,27321,danielsson anders,persson magnus,,bravida holding ab (publ),coor service management holding ab,epiroc ab (publ),hercules site services plc,instalco ab (publ),nordic waterproofing holding ab (publ),rwjbarnabas health inc.,view inc.,,,ab electrolux (publ),ab kristianstadsbyggen,aecom,akershus universitetssykehus hf,andenæs eiendom as,axis communications ab,bergen kommune,bny mellon-alcentra mezzanine partners,campus ullevål as,city of borås,,board member,biorck hans ,boman par ,horstedt richard ,lundberg fredrik ,marcus catherine ,stenman yvonne ,falt ola ,gurander jan 
thales sa,aerospace and defense,enxtpa,courbevoie,france,82696,caine patrice,bouchiat pascal,70.0,ace capital partners,actia group s.a.,actia telecom s.a.,atos se,ault alliance inc.,bharat electronics limited,cambion electronics limited,china spacesat co.ltd.,covivio,epic games inc.,air canada,airbus helicopters sas,airbus se,airbusgroup limited,airservices australia,american airlines group inc.,arab satellite communications organisation,arianegroup,atlas air inc.,australian council of social service,,board member,caine patrice ,taittinger anne-claire ,lepinay philippe ,edelstenne charles ,segalen loik ,trappier eric ,taylor ann ,walbaum marie-françoise 
m&g plc,diversified financial services,lse,london,united kingdom,5837,rossi paolo,mcleland kathryn,75.0,equiniti limited,,,,,,,,,,prudential financial inc.,prudential plc,troy resources limited,,,,,,,,,board member,braham edward charles,rossi paolo andrea,mcleland kathryn ,adamson clive peter,thompson clare eleanor,chapman clare m.,tosato massimo ,sanyal debasish satya
coloplast a/s,health care supplies,cpse,humlebæk,denmark,14700,villumsen kristian,lonning-skovgaard anders,60.0,coor service management holding ab,infracommerce cxaas s.a.,nolato ab (publ),novotek ab,,,,,,,premier inc.,vizient inc.,,,,,,,,,,board member,rasmussen lars soren,louis-hansen niels peter,barfod thomas ,wiinholt marianne ,nygaard-andersen jette ,hellmann carsten ,gundersen nikolaj kyhe,pedersen roland vendelbo
coca cola hbc ag,soft drinks and non-alcoholic beverages,lse,steinhausen,switzerland,33000,bogdanovic zoran,almanzar ben,65.0,a.g. leventis (nigeria) plc,a.g. leventis (nigeria) plc,brown-forman corporation,casa del caffe' vergnano spa,coca-cola hbc finance b.v.,contourglobal limited,costa limited,davide campari-milano n.v.,frigoglass s.a.i.c.,monster beverage company [connecticut],frigoglass s.a.i.c.,,,,,,,,,,,board member,david anastassis g.,bogdanovic zoran ,david george a.,douglas william w.,francioni reto ,boyle charlotte jane,leventis anastasios ioannis,leventis christodoulos papneokleo
