Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
EVRAZ plc,GB00B71N6K86,"2 Portman Street, London, Greater London, W1H 6DU, United Kingdom",Steel,LSE,London,United Kingdom,71591,"Ivanov, Aleksey",,NR,Computershare Investor Services PLC,East Metals AG,Evraz LLC,"GenAlta Recycling, Inc.",ING-DiBa AG,JSC EVRAZ Nakhodka Trade Sea Port,Mechel PAO,Public Joint Stock Company Raspadskaya,Public Joint Stock Company Vtorresource,Sberbank of Russia,East Metals AG,"JSC ""Yuzhny GOK""",OAO GMK Timir,"Open Joint Stock Company ""Russian Railways""",Public Joint Stock Company Vtorresource,Ternium Procurement S.A.,,,,,,"Loboda, Andrey ","Ibragimov, Ruslan Sultanovich",,,,,,,
Evolution AB (publ),SE0012673267,"Hamngatan 11, Stockholm, Stockholm County, 111 47, Sweden",Casinos and Gaming,OM,Stockholm,Sweden,12713,"Carlesund, Martin","Kaplan, Jacob",,,,,,,,,,,,Alberta Gaming and Liquor Commission,Entain Plc,FanDuel Inc.,Gnuf Ltd.,Janshen-Hahnraths Group B.V.,JVH Gaming B.V.,Kerzner International Limited,Ontario Lottery and Gaming Corporation,Super Group (SGHC) Limited,,"von Bahr, Jens ","Österberg, Fredrik ","Citron, Joel Tomas","Livingstone, Ian ","Drake, Mimi ","Urie, Sandra Ann",,,,
Pandora A/S,DK0060252690,"Havneholmen 17-19, Copenhagen V, Copenhagen, Capital Region of Denmark, 1561, Denmark","Apparel, Accessories and Luxury Goods",CPSE,Copenhagen,Denmark,32000,"Lacik, Alexander","Boyer-Søgaard, Anders",BBB,Afterpay Limited,GB Group plc,ITAB Shop Concept AB (publ),Klépierre,"Medallia, Inc.","PFSweb, Inc.",Samesystem A/S,"SentinelOne, Inc.",Shaftesbury Capital PLC,"SoundHound AI, Inc.",Dufry AG,"Macy's, Inc.",My Rewards International Limited,,,,,,,,,"Frigast, Povl Christian Lütken","Biner, Lilian Fossum","Goransson, Birgitta Stymne","Kirkegaard, Marianne ","Spindler, Catherine ","Zijderveld, Jan ",,,
Compagnie Financiere Richemont SA,CH0210483332,"50, chemin de la Chênaie, CP30, Bellevue, Geneva, 1293, Switzerland","Apparel, Accessories and Luxury Goods",SWX,Bellevue,Switzerland,33959,"Lambert, Jerome","Grund, Burkhart",A+,City Center Investment B.V.,Depa PLC,EPH European Property Holdings PLC,Farfetch Limited,Kering Eyewear S.p.A.,Monnin S.A.,Rouages SA,Schwab-Feller Ag,SIX SAG AG,Watches & Wonders Foundation,Alibaba Group Holding Limited,Hengdeli Holdings Limited,Kering Eyewear S.p.A.,Kering Eyewear S.p.A.,,,,,,,,"Lambert, Jerome ","Malherbe, Josua ","Grund, Burkhart ","Brendish, Clayton M.","Whitbread, Jasmine Mary","Pictet, Guillaume ","Ramos, Maria Da Conceicao Das Neves Calha","Eckert, Jean-Blaise ","Moss, Jeffrey "
Endesa SA,ES0130670112,"Calle Ribera del Loira, 60, Madrid, Madrid, 28042, Spain",Electric Utilities,BME,Madrid,Spain,9271,"Bogas Galvez, Jose","Palermo, Marco",BBB+,Albioma,"AXIS Participaciones Empresariales SGEIC, S.A., S.M.E.","Banco Bilbao Vizcaya Argentaria, S.A.","Banco Cooperativo Español, S.A.","Banco de Sabadell, S.A.",Banco Europeo de Inversiones,"Banco Santander, S.A.","Bankinter, S.A.",BNP Paribas SA,"CaixaBank, S.A.","Amazon.com, Inc.",Endesa Generación S.A.,"Endesa Medios y Sistemas, S.L.U.",Endesa X Servicios S.L.,Enel Américas S.A.,Enel Global Infrastructure And Networks S.R.L.,Enel SpA,"Redeia Corporación, S.A.",Reno De Medici S.p.A.,,,"Bogas Galvez, Jose Damian","Cattaneo, Flavio ","de Velasco, Ignacio Garralda-Ruiz","Queiroz de Barros de Lacerda, Francisco Jose","Bieto Caubet, Maria Eugenia","Koplowitz y Romero de Juseu, Alicia ","Gonzalez de Frutos, Pilar ","Halcon, Cristina de Parias","Gostinelli, Francesca "
Atos SE,FR0000051732,"River Ouest, 80 Quai Voltaire, Bezons, Ile-de-France, 95877, France",IT Consulting and Other Services,ENXTPA,Bezons,France,107013,"Bihmane, Nourdine","Saleh, Paul",BB,"Amazon Web Services, Inc.",Elixirr International plc,Flowsparks NV,"Juniper Networks, Inc.",NEXTDC Limited,"QTS Realty Trust, Inc.","RingCentral, Inc.",,,,AEGON UK Plc,AEGON UK Plc,Airbus SE,Akzo Nobel N.V.,Appian Corporation,AVL List GmbH,BOE Technology Group Company Limited,Cerner Corporation,Commissariat à l'Energie Atomique et aux énergies alternatives,Dassault Aviation société anonyme,"Meunier, Bertrand ","Wilman, Keith ","Tinkham, Elizabeth ","Proglio, Rene ","Stange, Astrid ","Sankey, Vernon Louis","Niane, Aminata ","Bernis, Valerie Irene Amelie Monique","Louis, Farès ","Asparuhova, Vesela "
Deutsche Lufthansa AG,DE0008232125,"Venloer Straße 151-153, Cologne, North Rhine-Westphalia, 50672, Germany",Passenger Airlines,XTRA,Cologne,Germany,114773,"Spohr, Carsten","Steenbergen, Remco",BB+,"Aena S.M.E., S.A.",Aeroporto Guglielmo Marconi di Bologna S.p.A.,Aéroports de Montréal,AFS Aviation Fuel Services GmbH,Airbus SE,Aircraft Maintenance and Engineering Corporation,Airmail Center Frankfurt Gmbh,"Akamai Technologies, Inc.",Albatros Versicherungsdienste GmbH,"Amadeus IT Group, S.A.",Aircraft Maintenance and Engineering Corporation,"Austrian Airlines Technik-bratislava, S.r.o",Azul S.A.,Brussels Airlines NV/SA,"Delta Air Lines, Inc.",Delvag Versicherungs-AG,DLH Fuel Company MbH,Easy Trip Planners Limited,EME Aero sp. z.o.o,Etihad Airways PJSC,,"Behle, Christine ","Weber, Jurgen ","Kruger, Harald ","Knobel, Carsten ","Hirsch, Christian ","Koch, Holger Benjamin","Rohleder, Birgit ","Winkler, Klaus ","Clementi, Erich "
Sagax AB,SE0005127818,"Engelbrektsplan 1, Stockholm, Stockholm County, 114 34, Sweden",Real Estate Operating Companies,NYSE,Stockholm,Sweden,94,"Mindus, David","Segerhammar, Agneta",,"Banco Santander, S.A.",CBRE Finland Oy,"Danske Bank A/S, Danmark,Sverige Filial",Deutsche Bank AG Bankfilial,Deutsche Pfandbriefbank AG,Euroclear Sweden AB,ING Groep N.V.,Jones Lang LaSalle B.V.,Jones Lang Lasalle Gmbh,"JPMorgan Chase Bank, National Association",Baxter Medical AB,Compagnie de Saint-Gobain S.A.,Fastighetsaktiebolaget Ess-Sierra AB,Fastighetsaktiebolaget Ess-Sierra AB,"General Markets Food Iberica, S.A.U.",Kesko Oyj,Konecranes Plc,Nokia Oyj,Pangir Ab,Pon Holdings B.V.,,"Mindus, David ","Cederlund, Johan ","Thorell, Johan ","Engelbert, Philip ","Werdelin, Ulrika ",,,,
Samhallsbyggnadsbolaget I Norden AB,SE0009554454,"Strandvagen 1, Stockholm, Stockholm County, 114 51, Sweden",Real Estate Operating Companies,OM,Stockholm,Sweden,33,"Synnes, Leiv","Tellberg, Daniel",CCC+,Avy Finans Ab,Colliers International Group Inc.,Cushman & Wakefield plc,Jones Lang LaSalle Incorporated,Newsec AB,Savills plc,Tangocm Capital Markets Ab,,,,AcadeMedia AB (publ),Alive Bostad Ab,Ambea AB (publ),Attendo AB (publ),Esperi Care Oy,Haninge Municipality,Haninge Municipality,Härnösands kommun,Ilija Batljan Invest AB (publ),Internationella Engelska Skolan I Sverige AB,"Schuss, Lennart ","Batljan, Ilija ","Johansson, Sven-Olof ","Grimaldi, Eva Swartz","Runesten, Hans ","Svensson, Fredrik ","Strom-Erichsen, Anne-Grete ","Wingborg, Johannes ","Rodert, Lars Eric Nils ",
Kindred Group PLC,SE0007871645,"The Centre, Level 6, Tigne Point, Sliema  TPO 0001, Malta",Casinos and Gaming,OM,Sliema,Malta,2446,"Anden, Nils","Kortman, Patrick",,"Caesars Entertainment, Inc.","FourCubed Acquisition Company, LLC",Gambling.com Group Limited,Gaming Realms plc,"Inspired Entertainment, Inc.",Kambi Group plc,Playtech plc,,,,,,,,,,,,,,"Carlsson, Evert ","Skogster, Heidi ","Boireau, Cedric Christian","Gemmel, James H.","McCue, Andy ","Randel, Martin ","Shea, Kenneth ","Jansson, Jonas ",,
Metso Outotec Corp,FI0009014575,"Töölönlahdenkatu 2, Helsinki, Uusimaa, 00100, Finland",Construction Machinery and Heavy Transportation Equipment,HLSE,Helsinki,Finland,16836,"Vauramo, Pekka","Sipila, Eeva",BBB,European Investment Bank,Innofactor Oyj,Jindal Steel & Power Limited,Tata International Limited,,,,,,,Almonty Industries Inc.,Hastings Technology Metals Limited,Ivanhoe Mines Ltd.,Jervois Global Limited,Kirby Corporation,Piedmont Lithium Inc.,PT Freeport Indonesia,Zinnwald Lithium Plc,,,"Stadigh, Kari Henrik","Cawen, Klaus ","Talma, Arja ","Rytsola, Reima ","Pearce, Ian Wilton","Speranza, Emanuela ","Beamish, Brian ","Koipijarvi, Terhi ","Pakalen, Niko ",
EQT AB,SE0012853455,"Regeringsgatan 25, Stockholm, Stockholm County, 111 53, Sweden",Asset Management and Custody Banks,OM,Stockholm,Sweden,1716,"Sinding, Christian","Henriksson, Kim",,Euroclear Sweden AB,Rothschild & Co SCA,,,,,,,,,,,,,,,,,,,"Jonsson, Conni ","Wallenberg, Jacob ","Wallenberg, Marcus ","Orr, Gordon Robert-Halyburton ","Lebot, Diony C.","Cook, Margo Lynn","Forssell, Johan ","Entwistle, Brooks ",,
Amplifon SpA,IT0004056880,"Via Ripamonti 133, Milan, Milan, 20141, Italy",Health Care Distributors,BIT,Milan,Italy,19400,"Vita, Enrico","Galli, Gabriele",BB+,Amplifin Spa,AUDIKA ITALIA Srl,Banca Monte dei Paschi di Siena S.p.A.,Banca Nazionale del Lavoro S.p.A.,Cassa Depositi e Prestiti S.p.A.,Comfoor BV,Crédit Agricole S.A.,GN Hearing A/S,Mediobanca Banca di Credito Finanziario S.p.A.,Spindox S.p.A.,Afik - Test Diagnosis & Hearing Aids Ltd,Amplifin Spa,Comfoor BV,Ruti Levinson Institute Ltd,,,,,,,,"Vita, Enrico ","Costa, Maurizio ","Pagani, Raffaella Annamaria","Pozza, Lorenzo ","Tamburi, Giovanni ","Donnini, Laura ","Patrizia Grieco, Maria ","Diquattro, Veronica ","Morandini, Lorenza "
Sinch AB (publ),SE0016101844,"Lindhagensgatan 74, Stockholm, Stockholm County, 112 18, Sweden",Application Software,OM,Stockholm,Sweden,3587,"Pang, Laurinda","Saldanha, Roshan",,AB Svensk Exportkredit (publ),Euroclear Sweden AB,,,,,,,,,"Amazon.com, Inc.",Google LLC,Hilton Worldwide Holdings Inc.,Los Angeles Times Communications LLC,Salud Digna Inc,Substack Inc.,The World Bank Group,"Uber Technologies, Inc.",Wikipedia,,"Froberg, Erik ","Stuart, Johan ","Zethraeus, Bjorn ","Stromberg, Renee Robinson","Cosgrave, Bridget ","Smith, Hudson ",,,,
Weir Group PLC,GB0009465807,"1 West Regent Street, Glasgow, Lanarkshire, G2 1RW, United Kingdom",Industrial Machinery and Supplies and Components,LSE,Glasgow,United Kingdom,12627,"Stanton, Jonathan","Heasley, John",BBB-,Computershare Investor Services PLC,,,,,,,,,,,,,,,,,,,,"Jeremiah, Barbara S.","Stanton, Jonathan ","Heasley, John ","Chapman, Clare M.","Young, Stephen G.","McDonald, James R.","Mutschler, Jackie ","Hooley, Anthony ","Magara, Bennetor ","Venkatakrishnan, Srinivasan "
Demant A/S,DK0060738599,"Kongebakken 9, Smørum, Capital Region of Denmark, 2765, Denmark",Health Care Equipment,CPSE,Smørum,Denmark,21154,"Nielsen, Søren","Schneider, René",,Impero A/S,Össur hf.,William Demant Invest A/S,,,,,,,,Össur hf.,Vision RT Ltd.,William Demant Invest A/S,,,,,,,,"Christiansen, Niels Bjorn","Jacobsen, Niels ","Wagner, Niels ","Rasmussen, Sisse Fjelsted","Nielsen, Jorgen Moller","Duer, Thomas ","Madsen, Anja ","Villumsen, Kristian ",,
Alstom SA,FR0010220475,"48, rue Albert Dhalenne, Saint-Ouen, Ile-de-France, 93400, France",Construction Machinery and Heavy Transportation Equipment,ENXTPA,Saint-Ouen,France,74513,"Poupart-Lafarge, Henri","Delpit, Bernard-Pierre",NR,"Actasys, Inc.",ACTIA Telecom S.A.,Aerosun Corporation,Akasol AG,Alicon Castalloy Limited,AMA Corporation Plc,AQ Group AB (publ),Asahi India Glass Limited,Brand Group (M.G) Ltd,Dassault Systèmes SE,Azerbaijan Railways CJSC,Cembre S.p.A.,Dallas Fort Worth Texas International Airport,DB Regio AG,Delhi Metro Rail Corporation Limited,Department of Rapid Transit Systems,DSB,E001RK Sp. z o.o,Empresa de Transporte de Pasajeros Metro S.A.,Govia Thameslink Railway Ltd,,"Rucar, Sylvie ","de Beaupuy, Sylvie Kandé","Delabrière, Yann ","Bi, Yong So","Prot, Baudouin ","Delbos, Clotilde ","Mastiaux, Frank ","Garcia Molina, Daniel ","Guilbon, Gilles "
thyssenkrupp AG,DE0007500001,"thyssenkrupp Allee 1, Essen, North Rhine-Westphalia, 45143, Germany",Steel,XTRA,Essen,Germany,98624,"Lopez Borrego, Miguel","Keysberg, Klaus",BB,Agfa-Gevaert NV,"Arch Resources, Inc.","BOZHON Precision Industry Technology Co.,Ltd",Cavotec SA,Constellium SE,Danieli & C. Officine Meccaniche S.p.A.,ESI Group SA,Isgec Heavy Engineering Limited,JTL Industries Limited,"Keyang Electric Machinery Co., Ltd.",EuroGroup Laminations S.p.A.,Gujarat Alkalies and Chemicals Limited,Prism Johnson Limited,PT Hexindo Adiperkasa Tbk,thyssenkrupp nucera AG & Co. KGaA,thyssenkrupp nucera AG & Co. KGaA,Vertical Topco II S.A.,,,,,"Kerner, Jurgen ","Wurz, Isolde ","Volpert, Verena ","Remmler, Peter ","Jacquemin, Tanja ","Nasikkol, Tekin ","Hass, Achim ","Gather, Ursula ","Sievers, Dirk "
Polski Koncern Naftowy Orlen SA,PLPKN0000018,"7 ChemikOw Street, Plock  09-411, Poland",Oil and Gas Refining and Marketing,WSE,Plock,Poland,35424,"Obajtek, Daniel","Szewczak, Jan",,Ab Industry S A,AB ORLEN Lietuva,ANWIL SA,Bank Handlowy w Warszawie S.A.,Bank Polska Kasa Opieki S.A.,European Investment Bank,ExxonMobil Sales and Supply LLC,"KBR, Inc.",LyondellBasell Industries N.V.,ORLEN Asphalt Sp z o.o.,AB ORLEN Lietuva,Air BP Aramco Poland Sp. z o.o.,Air BP Aramco Poland Sp. z o.o.,Alstom SA,ANWIL SA,Ciech S.A.,Grupa Azoty Zaklady Chemiczne Police S.A.,ORLEN Asphalt Sp z o.o.,ORLEN Centrum Serwisowe Sp. z o.o.,ORLEN KolTrans Sp. z o.o.,,"Szumanski, Andrzej ","Wjcik, Anna ","Kapala, Andrzej ","Lesisz, Jadwiga ","Jarzembowska, Barbara ","Klimaszewski, Michal ","Sakowicz-Kacz, Anna ","Kusz, Roman ","Goss, Janina "
Nibe Industrier AB,SE0015988019,"Järnvägsgatan 40, Markaryd, Kronoberg County, 285 32, Sweden",Building Products,OM,Markaryd,Sweden,21300,"Lindquist, Gerteric","Backman, Hans",,OEM International AB (publ),,,,,,,,,,,,,,,,,,,,"Linnarson, Hans Emanuel","Lindquist, Gerteric ","Palsson, Anders ","Larsson, Jenny ","Karlsson, Eva ","Thunholm, Eva ",,,,
Banco de Sabadell SA,ES0113860A34,"Avenida Óscar Esplá, 37, Alicante, Valencian Community, 03007, Spain",Diversified Banks,BME,Alicante,Spain,19405,"Wittgenstein, Cesar Gonzalez-Bueno","Trenor, Leopoldo",BBB,Alia Tasaciones Sa,Amundi S.A.,"Cbre Valuation Advisory, Sl",Chubb Limited,DEG-Deutsche Investitions- und Entwicklungsgesellschaft mbH,Eurovaloraciones S.A.,"IBERTASA, S.A.","Instituto De Valoraciones, S.A.",Krata Sa,"Meridiano S.A, Cía. Española de Seguros Entidad Unipersonal","Abertis Infraestructuras, S.A.","Acerinox, S.A.","ACS, Actividades de Construcción y Servicios, S.A.",Adif Alta Velocidad,"Aedas Homes, S.A.","Aena S.M.E., S.A.",Altarea SCA,Altareit SCA,Brembo S.p.A.,Contugas S.A.C.,,"Wittgenstein, Cesar Gonzalez-Bueno Mayer","Fontana García, Pedro ","Figueras, David Vegara","Martínez Martínez, José Manuel","Valls Morato, Manuel ","Johnston, George Donald ","Torrens, Mireia Gine","Beato, Maria Jose Garcia","Martinez Guzman, David Manuel"
Flutter Entertainment PLC,IE00BWT6H894,"Belfield Office Park, Beech Hill Road, Clonskeagh, Dublin, Co. Dublin, 4, Ireland",Casinos and Gaming,LSE,Dublin,Ireland,22000,"Jackson, Jeremy","Edgecliffe-Johnson, Paul",BB+,AIB Group (UK) p.l.c.,AIB Group plc,Fantasma Games AB (publ),Gambling.com Group Limited,Gaming Realms plc,Genius Sports Limited,"Inspired Entertainment, Inc.",Link Registrars Limited,Playtech plc,RAS Technology Holdings Limited,,,,,,,,,,,,"Jackson, Jeremy Peter","Edgecliffe-Johnson, Paul Russell","Hurley, Alfred F.","Lazzarato, David A.","Koeppel, Holly Keller","Cruickshank, Nancy ","Turner, Mary Louise","Flint, Richard Charles","Dubuc, Nancy "
Societe Generale SA,FR0000130809,"29, Bd Haussmann, Paris, Ile-de-France, 75009, France",Diversified Banks,ENXTPA,Paris,France,115466,"Krupa, Slawomir","Dumas, Claire",A,ALD France,ALD S.A.,ALD S.A.,"Alteryx, Inc.",Amundi S.A.,Bilendi SA,Caisse de Refinancement de L'Habitat,Euronext N.V.,Icade,Infotel SA,AB Sagax (publ),"Abertis Infraestructuras, S.A.",ABIVAX Société Anonyme,Abraxas Petroleum Corporation,ADNOC Drilling Company P.J.S.C.,Adobe Inc.,Affluent Medical SA,Air France-KLM SA,Air Lease Corporation,"Alaska Communications Systems Group, Inc.",,"Krupa, Slawomir ","Schaapveld, Alexandra Elisabeth Johanna Maria","Connelly, William L. A.","Contamine, Jerome ","Poupart-Lafarge, Henri ","Levy, Jean-Bernard ","Houssaye, France ","Rochet, Lubomira ","Cote, Diane Fabienne Marie"
Amadeus IT Group SA,ES0109067019,"Salvador de Madariaga, 1, Madrid, Madrid, 28027, Spain","Hotels, Resorts and Cruise Lines",BME,Madrid,Spain,17805,"Maroto Camino, Luis","Streichert, Till",BBB,Air Canada,American Airlines Group Inc.,China Eastern Airlines Corporation Limited,"Copa Holdings, S.A.","Couchbase, Inc.",European Investment Bank,Infibeam Avenues Limited,LATAM Airlines Group S.A.,LNRS Data Services Inc.,RateGain Travel Technologies Limited,"Aerovias de Mexico, S.A. de C.V.","Aimbridge Hospitality, LLC",Air Canada,Air Europa Líneas Aéreas S.A.U.,Air India Limited,"Allegiant Air, LLC",ANA Holdings Inc.,Arajet Holdings Limited,"Avis Budget Group, Inc.",Azul S.A.,,"Maroto Camino, Luis ","Gemkow, Stephan ","Mesler, Amanda ","García Ceballos Zúñiga, Pilar ","Kürpick, Peter ","Clever, Xiaoqun ","Eggers, Jana ","Soderstrom, Eriikka ","Figueras, David Vegara"
Schroders PLC,GB0002405495,"1 London Wall Place, London, Greater London, EC2Y5AU, United Kingdom",Asset Management and Custody Banks,LSE,London,United Kingdom,6434,"Harrison, Peter","Oldfield, Richard",NR,"AvePoint, Inc.",Computershare Investor Services PLC,Dianomi plc,Skillcast Group plc,,,,,,,Centrica plc,Society of Lloyd's,,,,,,,,,"Corley, Dame Elizabeth Pauline Lucy","Harrison, Peter ","Oldfield, Richard ","Keers, Richard John","Davies, Rhian ","Westerman, Matthew ","King, Ian Graham","Goss-Custard, Rakhi ","Waterhouse, Deborah Jayne","Emma Schroder, Leonie Kira"
CD Projekt SA,PLOPTTC00011,"ul. Jagiellonska 74, Warsaw  03-301, Poland",Interactive Home Entertainment,WSE,Warsaw,Poland,1297,"Kicinski, Adam","Nielubowicz, Piotr",,,,,,,,,,,,Apple Inc.,BANDAI NAMCO Entertainment Europe S.A.S.,Electronic Arts Inc.,Sony Interactive Entertainment LLC,Warner Bros. Home Entertainment Inc.,,,,,,"Iwinski, Marcin Piotr","Szwarc, Katarzyna ","Nielubowicz, Maciej ","Bien, Michal ","Wejchert, Lukasz Jan",,,,,
Adevinta ASA,NO0010844038,"Grensen 5, Oslo, Oslo  Norway",Interactive Media and Services,OB,Oslo,Norway,5700,"Jouteau, Antoine","Collinet, Alexandre",BB-,BNP Paribas Fortis SA/NV,DNB Bank ASA,Ebay Group Services GmbH,J.P. Morgan Securities plc,Schibsted ASA,,,,,,Adevinta France,Bom Negócio Atividades de Internet Ltda.,Lbc France Sas,,,,,,,,"Noonan, Orla ","Hernandez, Fernando Abril-Martorell","Javary, Sophie ","Rosinski, Aleksander ","Nilles, Michael ","Jaekel, Julia ","Simpson, Julie ",,,
Moncler SpA,IT0004965148,"Via Enrico Stendhal, 47, Milan, Milan, 20144, Italy","Apparel, Accessories and Luxury Goods",BIT,Milan,Italy,6440,"Ruffini, Remo",,,Hang Lung Group Limited,La Rotonda Srl,Moncler France,Rivetex S.R.L.,Rivetex S.R.L.,"Simon Property Group, Inc.",Swire Properties Limited,Sydney Airport Limited,Yagi Tsusho Limited,,Industries S.P.A.,"Inter Parfums, Inc.",La Rotonda Srl,MYT Netherlands Parent B.V.,Sportswear Company S.p.A.,Yagi Tsusho Limited,,,,,"Ruffini, Remo ","De Benedetti, Marco Diego","Eggs, Roberto ","Santel, Luciano ","di Genola e Suniglia, Gabriele Galateri","Moriani, Diva ","Losi, Riccardo ","Gritti, Alessandra ","Pianaroli, Guido ","Rivetti, Carlo "
Norsk Hydro ASA,NO0005052605,"Drammensveien 264, Oslo, Oslo, 0283, Norway",Aluminum,OB,Oslo,Norway,32014,"Aasheim, Hilde","Kildemo, Pal",BBB,LaserBond Limited,New Fortress Energy Inc.,Statkraft AS,,,,,,,,Equinor ASA,Mercedes-Benz Group AG,"Worthington Industries, Inc.",,,,,,,,"Mejdell, Dag ","Bjerke, Rune ","Wiinholt, Marianne ","Moxnes, Bjorn Petter","Baade, Arve ","Kukielski, Peter Gerald Jan","Einarsson, Petra ","Kragseth, Kristin Fejerskov","New, Philip Graham","Sundve, Margunn "
Wizz Air Holdings PLC,JE00BN574F90,"Ogier House, 44 The Esplanade, Saint Helier  JE4 9WG, Jersey",Passenger Airlines,LSE,Saint Helier,Jersey,7389,"Váradi, József","Malin, Ian",,Airbus S.A.S.,Computershare Investor Services (Jersey) Limited,Gocrisis Limited,"Pratt & Whitney Company, Inc.",Toscana Aeroporti S.p.A.,Worldline SA,,,,,,,,,,,,,,,"Franke, William Augustus","Váradi, József ","Johnson, Stephen L.","Eccleston, Barry ","Pedersen, Charlotte ","Andsager, Charlotte ","de Lome Chavarri, Enrique Dupuy","Broderick, Andrew S.","Radev, Anthony ","Gatti, Anna "
Sartorius AG,DE0007165631,"Otto-Brenner-Strasse 20, Göttingen, Lower Saxony, 37079, Germany",Life Sciences Tools and Services,XTRA,Göttingen,Germany,15048,"Kreuzburg, Joachim","Lehmann, Rainer",BBB,908 Devices Inc.,BNP Paribas Fortis SA,Unifiedpost Group SA,,,,,,,,Absci Corporation,EirGenix Inc.,Sartorius Stedim Biotech S.A.,,,,,,,,"Kappich, Lothar ","Zaffke, Manfred ","Kirchhoff, Petra ","Trutzschler, Klaus Rudiger","Becker, Annette ","Favoccia, Daniela ","Panzer, Ilke Hildegard","Ebsworth, David Raymond","Muller, Dietmar ","Ritzau, Hermann Jens"
Just Eat Takeaway.com NV,NL0012015705,"Piet Heinkade 61, Amsterdam, Noord-Holland, 1019 GM, Netherlands",Restaurants,ENXTAM,Amsterdam,Netherlands,13775,"Groen, Jitse","Wissink, Brent",,Alphabet Inc.,Amazon.com Services LLC,Apple Pay Limited,Appreciate Group plc,Bank of China Limited London Branch,Befimmo SA,Burger King Company LLC,"Cardlytics, Inc.",Centra Foodstores Limited,Costa Coffee,Co-Op Foods,"Domino's Pizza, Inc.",McDonald's Corporation,PizzaExpress Limited,Sainsbury's Supermarkets Ltd,Takeaway.com Asia B.V.,,,,,,"Vigreux, Corinne ","Teerlink, Ronald ","Palaniappan, Jambu ","Frink, Lloyd D.","De Schepper, Mieke S.",,,,
